state,x,y
Andhra Pradesh,-51.0, -131.0
Arunachal Pradesh,200.0, 121.0
Assam,172.0, 80.0
Bihar,49.0, 58.0
Chhattisgarh,2.0, -0.0
Goa,-149.0, -129.0
Gujarat,-194.0, 5.0
Haryana,-98.0, 128.0
Himachal Pradesh,-87.0, 178.0
Jharkhand,32.0, 28.0
Karnataka,-130.0, -164.0
Kerala,-102.0, -239.0
Madhya Pradesh,-103.0, 16.0
Maharashtra,-142.0, -57.0
Manipur,198.0, 50.0
Meghalaya,128.0, 61.0
Mizoram,180.0, 8.0
Nagaland,207.0, 77.0
Odisha,24.0, -47.0
Punjab,-125.0, 149.0
Rajasthan,-191.0, 84.0
Sikkim,99.0, 100.0
Tamil Nadu,-86.0, -210.0
Telangana,-76.0, -80.0
Tripura,158.0, 29.0
Uttar Pradesh,-48.0, 76.0
Uttarakhand,-61.0, 142.0
West Bengal,83.0, 9.0
Jammu,-114.0, 242.0
Kashmir,-132.0, 203.0
Delhi,-87.0, 112.0
